make,model,year_range,price_range_low,price_range_high,category,drivetrain,fuel_type,mpg_city,mpg_highway,mpg_combined,annual_fuel_cost,maintenance_annual,insurance_annual,depreciation_3yr_percent,federal_tax_credit,ca_rebate,manufacturer_incentive,final_price_low,final_price_high,tco_3yr_low,tco_3yr_high,founder_credibility_score,reliability_score,coolness_score,notes
Tesla,Model 3,2019-2024,18000,33000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,45,7500,2000,0,8500,23500,6575,16075,5,8,6,"2024: $26k-$44k new, 2023: $22k-$34k used, 2022: $19k-$28k used - massive depreciation"
Tesla,Model Y,2020-2024,30000,45000,Premium EV SUV,RWD/AWD,Electric,129,120,125,275,300,450,32,7500,2000,0,20500,35500,14750,22600,6,8,7,"Popular SUV option in tech circles"
Tesla,Model S,2018-2024,35000,65000,Luxury EV Sedan,AWD,Electric,120,115,118,275,400,500,35,0,0,0,35000,65000,24275,42775,8,7,9,"OG luxury EV - actual status symbol"
BMW,i4,2022-2024,40000,55000,Luxury EV,RWD/AWD,Electric,120,108,114,275,500,450,28,7500,2000,0,30500,45500,20075,29325,9,8,8,"German luxury EV credibility"
BMW,330e,2020-2022,23000,27500,Luxury PHEV,RWD/AWD,PHEV,75,85,80,400,800,350,38,0,0,0,23000,27500,17050,20350,8,7,7,"2022: $27k resale, 2021: $21k resale - 38-39% depreciation per KBB/Edmunds"
BMW,330i,2018-2022,20000,32000,Luxury Sedan,RWD/AWD,Gas,26,35,30,1200,800,350,28,0,0,0,20000,32000,16100,24600,8,7,7,"Classic luxury sedan"
BMW,M240i,2018-2023,30000,42000,Sports Luxury,RWD/AWD,Gas,22,32,25,1400,900,500,30,0,0,0,30000,42000,22300,30900,9,7,8,"Performance credibility"
BMW,M2,2018-2023,35000,50000,Sports Car,RWD,Gas,20,28,22,1600,1000,600,25,0,0,0,35000,50000,26400,35900,9,7,9,"True enthusiast car"
Audi,A4,2018-2022,22000,32000,Luxury Sedan,AWD,Gas,27,34,30,1200,900,400,30,0,0,0,22000,32000,17700,25700,8,7,7,"European sophistication"
Audi,S4,2018-2022,28000,40000,Sports Luxury,AWD,Gas,21,30,24,1500,1000,500,32,0,0,0,28000,40000,22100,30500,9,7,8,"Understated performance"
Genesis,G70,2020-2022,20000,29000,Luxury Sedan,RWD/AWD,Gas,22,31,25,1400,600,300,43,0,0,2000,18000,27000,14700,20900,8,8,7,"2022: $21k-$24k resale per KBB/Edmunds, 43% depreciation but excellent warranty"
Genesis,G80,2021-2024,28000,42000,Luxury Sedan,RWD/AWD,Gas,22,32,25,1400,700,350,33,0,0,2000,26000,40000,19700,28750,8,8,8,"Executive presence"
Genesis,GV70,2022-2024,35000,48000,Luxury SUV,AWD,Gas,22,28,24,1500,700,400,30,0,0,2000,33000,46000,25200,33400,8,8,7,"Luxury SUV with value story"
Genesis,GV60,2022-2024,45000,60000,Luxury EV SUV,AWD,Electric,112,112,112,275,500,450,35,7500,2000,0,35500,50500,22675,31325,9,8,8,"Cutting-edge luxury EV"
Mercedes,C300,2018-2022,25000,35000,Luxury Sedan,RWD/AWD,Gas,23,32,26,1300,1000,400,32,0,0,0,25000,35000,20300,28300,8,6,8,"Classic luxury badge"
Mercedes,CLA250,2019-2024,22000,32000,Luxury Sedan,FWD/AWD,Gas,24,35,28,1200,900,400,35,0,0,0,22000,32000,18500,26500,7,6,7,"Entry luxury - compact"
Porsche,Cayman,2017-2023,32000,57000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,22,0,0,0,32000,57000,26700,40200,10,9,10,"2019: $29k-$54k, 2021: $32k-$57k per Edmunds - excellent retention"
Porsche,Boxster,2017-2023,30000,50000,Sports Convertible,RWD,Gas,20,28,22,1600,1200,700,22,0,0,0,30000,50000,24700,35700,10,9,10,"Convertible sports luxury"
Porsche,Macan,2018-2023,35000,50000,Luxury SUV,AWD,Gas,19,25,21,1700,1200,600,25,0,0,0,35000,50000,27900,37400,10,8,9,"Luxury SUV pinnacle"
Lexus,IS,2018-2024,22000,32000,Luxury Sedan,RWD/AWD,Gas,21,31,24,1500,400,300,25,0,0,0,22000,32000,16900,24400,7,9,6,"Reliable luxury"
Lexus,ES Hybrid,2019-2024,28000,40000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,27,0,0,0,28000,40000,19400,26800,7,9,6,"2022: $32k resale per KBB - excellent 27% depreciation, Toyota hybrid reliability"
Acura,TLX,2018-2024,24000,35000,Luxury Sedan,FWD/AWD,Gas,22,31,25,1400,500,300,28,0,0,0,24000,35000,18700,26650,7,8,6,"2023: $26k-$51k per Edmunds, avg $26k market - Honda luxury reliability"
Acura,RDX,2019-2024,25000,35000,Luxury SUV,AWD,Gas,22,28,24,1500,600,350,28,0,0,0,25000,35000,19450,26950,7,8,6,"Reliable luxury SUV"
Toyota,RAV4 Hybrid,2021-2023,24000,37000,Hybrid SUV,AWD,Hybrid,41,38,40,800,400,200,15,0,0,0,24000,37000,17200,25400,6,9,6,"2023: $25k-$37k, 2021: $20k-$32k per Edmunds - best-in-class retention at 12% depreciation"
Toyota,Camry Hybrid,2018-2024,23000,32000,Hybrid Sedan,FWD,Hybrid,51,53,52,600,400,1250,22,0,0,1000,22000,31000,18650,25450,5,9,4,"Efficiency champion"
Toyota,Prius,2018-2024,18000,28000,Hybrid Hatchback,FWD,Hybrid,54,50,52,600,300,200,25,0,0,1000,17000,27000,12550,19050,4,9,3,"Maximum efficiency"
Toyota,Prius Prime,2018-2024,20000,30000,PHEV Hatchback,FWD,PHEV,114,99,106,350,350,250,28,0,0,1000,19000,29000,13250,20250,5,9,4,"PHEV efficiency leader"
Toyota,GR86,2022-2024,25000,32000,Sports Car,RWD,Gas,20,27,22,1600,400,400,25,0,0,0,25000,32000,19700,25200,7,8,7,"Affordable sports car fun"
Honda,Accord Hybrid,2018-2024,22000,30000,Hybrid Sedan,FWD,Hybrid,48,47,48,650,500,250,25,0,0,500,21500,29500,15650,21650,6,9,5,"Reliable hybrid sedan"
Honda,CR-V Hybrid,2020-2024,25000,33000,Hybrid SUV,AWD,Hybrid,40,35,38,850,500,250,24,0,0,0,25000,33000,18350,24350,6,8,5,"Practical hybrid SUV"
Honda,Civic,2018-2024,14000,28000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,31,0,0,500,13500,27500,11900,20900,4,9,4,"2022: $16k-$28k, 2021: $15k-$38k per Edmunds - excellent 31% depreciation for class"
Hyundai,Ioniq 5,2022-2024,20000,32000,EV SUV,RWD/AWD,Electric,114,94,104,275,400,350,52,7500,2000,0,10500,22500,9075,15075,8,7,7,"2023: $24k resale, 2022: $21k resale per KBB - massive 52% EV depreciation but great value"
Hyundai,Elantra Hybrid,2021-2024,20000,26000,Hybrid Sedan,FWD,Hybrid,53,56,54,600,500,250,35,0,0,0,20000,26000,15100,19600,4,7,3,"Budget hybrid option"
Kia,EV6,2022-2024,30000,42000,EV SUV,RWD/AWD,Electric,117,94,105,275,400,350,42,7500,2000,0,20500,32500,13575,21075,7,7,6,"Korean EV innovation"
Kia,Stinger,2018-2022,22000,32000,Sports Sedan,RWD/AWD,Gas,22,29,25,1400,600,350,40,0,0,0,22000,32000,18100,25600,7,7,7,"Unexpected performance"
